machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc	src
mac-m1max	gmp	gpp100	101	up_t1	1	-	33f968827a10dca7	2	35.27	35.229629	61	pFEAS	-4.4943550775891146e+01	14.3	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	gpp100	101	up_t1	1	-	33f968827a10dca7	3	35.36	35.321434	61	pFEAS	-4.4943550775891146e+01	14.4	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	truss5	208	fork_t1	1	-	33f968827a10dca7	1	9.60	9.564306	48	pdOPT	-1.3263567797250604e+02	12.0	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	truss5	208	fork_t1	1	-	33f968827a10dca7	2	9.61	9.579783	48	pdOPT	-1.3263567797250604e+02	12.0	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	truss5	208	fork_t1	1	-	33f968827a10dca7	3	9.57	9.537793	48	pdOPT	-1.3263567797250604e+02	11.9	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	truss5	208	up_t1	1	-	33f968827a10dca7	1	10.92	10.889653	48	pdOPT	-1.3263567797250604e+02	11.9	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	truss5	208	up_t1	1	-	33f968827a10dca7	2	10.96	10.932797	48	pdOPT	-1.3263567797250604e+02	12.0	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	truss5	208	up_t1	1	-	33f968827a10dca7	3	10.96	10.932387	48	pdOPT	-1.3263567797250604e+02	12.0	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	arch0	174	fork_t1	1	-	33f968827a10dca7	1	113.35	113.288454	53	pdOPT	5.6651727321592959e-01	27.9	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	arch0	174	fork_t1	1	-	33f968827a10dca7	2	113.57	113.506517	53	pdOPT	5.6651727321592959e-01	27.9	ok	0	out_main/rows_Asdplib_t1.tsv
