machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc	src
pi-i9-13900k	gmp	10_min	74	up_t2	2	0,2	e3e82d8dfcd9b7c3	2	12.71	12.662799	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t2.tsv
pi-i9-13900k	gmp	10_min	74	up_t2	2	0,2	e3e82d8dfcd9b7c3	3	12.7	12.658741	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t2.tsv
pi-i9-13900k	gmp	10_min	74	fork_t2	2	0,2	e3e82d8dfcd9b7c3	1	9.72	9.657965	61	pdOPT	-4.7926054387208136e-01	13.0	ok	0	out_main/rows_Amin_t2.tsv
pi-i9-13900k	gmp	10_min	74	fork_t2	2	0,2	e3e82d8dfcd9b7c3	2	9.8	9.743013	61	pdOPT	-4.7926054387208136e-01	13.0	ok	0	out_main/rows_Amin_t2.tsv
pi-i9-13900k	gmp	10_min	74	fork_t2	2	0,2	e3e82d8dfcd9b7c3	3	9.73	9.674202	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t2.tsv
pi-i9-13900k	gmp	8_min	19	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	1	0.46	0.460138	52	pdOPT	-5.3812637297885203e-01	5.6	ok	0	out_main/rows_Amin_t24.tsv
pi-i9-13900k	gmp	8_min	19	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	2	0.48	0.478498	52	pdOPT	-5.3812637297885203e-01	5.6	ok	0	out_main/rows_Amin_t24.tsv
pi-i9-13900k	gmp	8_min	19	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	3	0.46	0.463239	52	pdOPT	-5.3812637297885203e-01	5.6	ok	0	out_main/rows_Amin_t24.tsv
pi-i9-13900k	gmp	8_min	19	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	1	0.34	0.342508	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t24.tsv
pi-i9-13900k	gmp	8_min	19	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	2	0.34	0.345434	52	pdOPT	-5.3812637297885203e-01	6.1	ok	0	out_main/rows_Amin_t24.tsv
pi-i9-13900k	gmp	8_min	19	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	3	0.34	0.343398	52	pdOPT	-5.3812637297885203e-01	6.0	ok	0	out_main/rows_Amin_t24.tsv
pi-i9-13900k	gmp	10_min	74	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	1	10.08	10.038898	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t24.tsv
pi-i9-13900k	gmp	10_min	74	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	2	10.12	10.077907	61	pdOPT	-4.7926054387208136e-01	12.9	ok	0	out_main/rows_Amin_t24.tsv
pi-i9-13900k	gmp	10_min	74	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	3	10.05	10.008550	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t24.tsv
pi-i9-13900k	gmp	10_min	74	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	1	4.99	4.933074	61	pdOPT	-4.7926054387208136e-01	19.0	ok	0	out_main/rows_Amin_t24.tsv
pi-i9-13900k	gmp	10_min	74	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	2	5	4.935467	61	pdOPT	-4.7926054387208136e-01	18.7	ok	0	out_main/rows_Amin_t24.tsv
pi-i9-13900k	gmp	10_min	74	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	3	4.98	4.921194	61	pdOPT	-4.7926054387208136e-01	18.4	ok	0	out_main/rows_Amin_t24.tsv
pi-i9-13900k	gmp	8_min	19	fork_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	1	0.34	0.345858	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t4.tsv
pi-i9-13900k	gmp	8_min	19	fork_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	2	0.34	0.345726	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t4.tsv
pi-i9-13900k	gmp	8_min	19	fork_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	3	0.34	0.345696	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t4.tsv
pi-i9-13900k	gmp	8_min	19	up_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	1	0.33	0.328951	52	pdOPT	-5.3812637297885203e-01	5.8	ok	0	out_main/rows_Amin_t4.tsv
pi-i9-13900k	gmp	8_min	19	up_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	2	0.33	0.330032	52	pdOPT	-5.3812637297885203e-01	5.6	ok	0	out_main/rows_Amin_t4.tsv
pi-i9-13900k	gmp	8_min	19	up_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	3	0.33	0.330632	52	pdOPT	-5.3812637297885203e-01	6.1	ok	0	out_main/rows_Amin_t4.tsv
pi-i9-13900k	gmp	10_min	74	fork_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	1	6.84	6.777318	61	pdOPT	-4.7926054387208136e-01	13.3	ok	0	out_main/rows_Amin_t4.tsv
