machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc	src
symmetry-xeon6148	gmp	10_min	74	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	2	10.27	10.085259	61	pdOPT	-4.7926054387208136e-01	21.1	ok	0	out_main/rows_Amin_t32.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	3	10.26	10.086617	61	pdOPT	-4.7926054387208136e-01	21.1	ok	0	out_main/rows_Amin_t32.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	1	0.76	0.742172	52	pdOPT	-5.3812637297885203e-01	6.5	ok	0	out_main/rows_Amin_t4.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	2	0.77	0.744053	52	pdOPT	-5.3812637297885203e-01	6.5	ok	0	out_main/rows_Amin_t4.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	3	0.76	0.740930	52	pdOPT	-5.3812637297885203e-01	6.5	ok	0	out_main/rows_Amin_t4.tsv
symmetry-xeon6148	gmp	8_min	19	up_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	1	0.68	0.664625	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t4.tsv
symmetry-xeon6148	gmp	8_min	19	up_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	2	0.69	0.666845	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t4.tsv
symmetry-xeon6148	gmp	8_min	19	up_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	3	0.68	0.664186	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t4.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	1	14.74	14.571762	61	pdOPT	-4.7926054387208136e-01	13.9	ok	0	out_main/rows_Amin_t4.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	2	14.75	14.574401	61	pdOPT	-4.7926054387208136e-01	13.9	ok	0	out_main/rows_Amin_t4.tsv
